优先级,SHA,日期,分类,类型,优化内容,Ascend价值,迁移策略,Patch冲突,工作量,风险,关键文件,迁移步骤,验证场景
P3,a76df87d,2026-07-23,test-ci,bugfix,【变更概述】修复 MooncakeStore KV 连接器在存储边界上外部命中（external hits）推导不完整的问题。此前在 KV cache 存储边界处，外部命中计算可能遗漏部分 token,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_mooncake_store_connector.py, tests/v1/kv_connector/unit/test_mooncake_store_hma_e2e.py, tests/v1/kv_connector/unit/test_mooncake_store_scheduler.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,a4904ba9,2026-07-23,test-ci,performance,【变更概述】将 MooncakeStore KV 连接器在 KV 加载路径上的 prepare_value 操作向量化，用批量张量操作替代逐元素循环，提升 KV cache 加载性能。修改 store,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_mooncake_store_prepare_values.py, tests/v1/kv_connector/unit/test_mooncake_store_worker.py, vllm/distributed/kv_transfer/kv_connector/v1/mooncake/store/data.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,76bf5524,2026-07-23,model-architecture,bugfix,【变更概述】修复 DeepSeek-V4 DSpark draft 模型的共享专家（shared expert）在张量并行（TP）大于 8 时 padding 计算错误的问题。此前 TP>8 时共享专,medium,auto-inherit,否,S,medium-risk,"vllm/models/deepseek_v4/nvidia/dspark.py, vllm/models/deepseek_v4/nvidia/model.py, vllm/models/deepseek_v4/nvidia/mtp.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,9a698f32,2026-07-23,model-architecture,performance,【变更概述】优化 Inkling 模型的结果处理，避免临时张量分配以减少内存开销，防止在较小显存配置下 OOM。修改 vllm/models/inkling/nvidia/mlp.py 与 moe.p,medium,auto-inherit,否,S,medium-risk,"vllm/models/inkling/nvidia/mlp.py, vllm/models/inkling/nvidia/moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,4080263b,2026-07-23,test-ci,bugfix,【变更概述】移除 Inkling 模型 scale planning 中对 SciPy 的依赖，改用纯 PyTorch 实现相应计算，减少外部依赖。修改 vllm/models/inkling/com,medium,auto-inherit,否,S,medium-risk,"tests/models/inkling/test_contract_validation.py, vllm/models/inkling/common/towers.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,b07ec92f,2026-07-23,test-ci,bugfix,【变更概述】修复 NVFP4 量化 MoE（Mixture of Experts）中共享 scales 不可写的问题。此前共享 scales 张量被标记为只读，导致在运行时修改（如 padding）时,low,auto-inherit,否,S,low-risk,"tests/quantization/test_trtllm_nvfp4_hidden_dim_padding.py, vllm/model_executor/layers/quantization/utils/flashinfer_fp4_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,229e01e9,2026-07-23,test-ci,bugfix,【变更概述】修复混合模型（hybrid models，如包含不同 attention 类型的层）在使用 KV 连接器时逐组（per-group）前缀命中（prefix-hit）分歧的问题。此前不同 a,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_scheduler.py, vllm/v1/core/kv_cache_coordinator.py, vllm/v1/core/kv_cache_manager.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,149daf0d,2026-07-23,test-ci,bugfix,【变更概述】修复 torch.compile 缓存命中问题。此前路径派生的环境变量（如安装路径）被纳入 torch.compile 的缓存因子，导致不同安装路径下缓存无法复用。修改 vllm/envs,low,auto-inherit,否,S,low-risk,"tests/config/test_config_utils.py, vllm/envs.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,917fdb5b,2026-07-23,other,bugfix,【变更概述】修复使用 FlashInferFp8DeepGEMMDynamicBlockScaledKernel 内核时 DeepGEMM warmup 失败的问题。修改 vllm/model_exe,low,auto-inherit,否,S,low-risk,vllm/model_executor/warmup/deep_gemm_warmup.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,d02df748,2026-07-24,test-ci,bugfix,"【变更概述】修复 MediaConnector 解析 base64 data URL 时未遵循 RFC 2397 的问题。此前用 split("";"",1) 切分会把带参数（如 data:image/p",medium,auto-inherit,否,S,medium-risk,"tests/multimodal/media/test_connector.py, vllm/multimodal/media/connector.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,8eac21a6,2026-07-24,test-ci,bugfix,【变更概述】修复 ROCm AITER 融合 AllReduce+RMSNorm 的 token_num 维度计算：由 input_.shape[0] 改为 input_.numel()//hidde,low,auto-inherit,否,S,low-risk,"tests/compile/fusions_e2e/test_tp2_ar_rms.py, vllm/_aiter_ops.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,a454a1dd,2026-07-24,test-ci,bugfix,【变更概述】修复 #39896 引入的回归：--skip-tokenizer-init 与 --dataset-name custom 同用时 serve.py 无条件 assert tokenize,low,auto-inherit,否,S,low-risk,"tests/benchmarks/test_skip_tokenizer_init.py, vllm/benchmarks/datasets/datasets.py, vllm/benchmarks/serve.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,163ecba3,2026-07-24,other,bugfix,【变更概述】修复 layerwise reload 时线性 bias 被错误重载导致权重损坏。bias 在 create_weights() 之后构建，未被 layerwise-reload 触发器跟,low,auto-inherit,否,S,low-risk,vllm/model_executor/model_loader/reload/meta.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,589a5b88,2026-07-24,test-ci,bugfix,【变更概述】修复 PD 分离部署 NixlPush KV 连接器 writer 线程同步握手阻塞管线导致延迟尖刺的问题。重构 push_worker.py 将握手移出 writer 线程阻塞路径，ba,low,auto-inherit,否,S,low-risk,"docs/design/nixl_kv_push_connector.md, tests/v1/kv_connector/unit/test_nixl_push_connector.py, vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,dd72658e,2026-07-24,operator-kernel,performance,【变更概述】【MRV2 关键 commit】为 GLM-5.2（DeepSeek V3.2 架构）在 Blackwell B300 上做大规模解码性能优化，新增 2139 行、修改 29 个文件。核心,medium,idea-copy,否,L,medium-risk,"CMakeLists.txt, csrc/libtorch_stable/bf16_skinny_gemm.cu, csrc/libtorch_stable/bf16_skinny_gemm_entry.cu",理解上游优化思路（CMakeLists.txt） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 operator-kernel 模块在 Ascend 行为一致
P2,7bdf8cc3,2026-07-24,model-architecture,bugfix,"【变更概述】修复 hy_v3（Humming）模型在 layer.has_bias 为 None 时内核崩溃，单行修复安全处理 None 值。
【PR号】#48769
【变更类型】bugfix - 模",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/hy_v3.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,275556c3,2026-07-24,test-ci,bugfix,【变更概述】修复 packed KV cache specs 在混合精度下未被正确检测的问题，修改 vllm/v1/kv_cache_interface.py 增强对不同精度张量的检测与打包逻辑，新增,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_kv_cache_utils.py, vllm/v1/kv_cache_interface.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,0231dd54,2026-07-24,test-ci,bugfix,[BugFix][LoRA] Skip marlin-backend gpt-oss LoRA tests on XPU (#49385),none,skip,否,S,low-risk,tests/lora/test_gptoss_tp.py,,
P2,33ef67e9,2026-07-25,model-architecture,bugfix,"【变更概述】提升 MOSS-TD（MOSS Transcribe Diarize，语音转写与说话人分离）模型支持的最大音频时长上限，修复长音频处理被截断的问题。
【PR号】#49403
【变更类型】b",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/moss_transcribe_diarize.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,d1a8ba63,2026-07-25,model-architecture,bugfix,【变更概述】修复 MiniMax-M3 模型在 Triton kernel 中 token-major top-k 缓冲区处理错误，调整 indexer 与 sparse_attention 的缓冲区,medium,auto-inherit,否,S,medium-risk,"vllm/models/minimax_m3/common/indexer.py, vllm/models/minimax_m3/common/sparse_attention.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,1423569f,2026-07-25,test-ci,bugfix,"【变更概述】修复 Jamba 和 InternLM2 工具解析器在流式输出时丢弃部分参数的 bug，完善流式工具调用参数的累积逻辑，并补充两个解析器的单元测试。
【PR号】#48852
【变更类型】b",low,auto-inherit,否,S,low-risk,"tests/tool_parsers/test_internlm2_tool_parser.py, tests/tool_parsers/test_jamba_tool_parser.py, vllm/tool_parsers/internlm2_tool_parser.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,0b1a8bb1,2026-07-25,test-ci,bugfix,[Bugfix][CI] Fix stale Mooncake lookup expectation broken by a merge race (#49802),none,skip,否,S,low-risk,tests/v1/kv_connector/unit/test_mooncake_store_worker.py,,
P2,fe514576,2026-07-25,test-ci,bugfix,【变更概述】修复 prefix-LM 模型（如 GLM 系列）在纯文本服务时注意力后端被错误排除的问题。修改 vllm/config/model.py（+43/-1）在多模态配置校验中保留文本-onl,medium,config-align,否,M,medium-risk,"tests/config/test_multimodal_config.py, tests/models/utils.py, vllm/config/model.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P3,a82f1b38,2026-07-25,other,performance,【变更概述】性能优化：当 prefix caching 关闭时，跳过 free_blocks 中的 LRU 哈希拆分逻辑，减少不必要的开销。修改 vllm/v1/core/block_pool.py ,low,auto-inherit,否,S,low-risk,vllm/v1/core/block_pool.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,70052fb9,2026-07-25,test-ci,bugfix,【变更概述】修复 Mooncake store worker 中 TP 分片的 Mamba state 被错误纳入 KV-head 去重的问题，重构 worker.py（+97/-78）的 state,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_mooncake_store_hma_e2e.py, tests/v1/kv_connector/unit/test_mooncake_store_worker.py, vllm/distributed/kv_transfer/kv_connector/v1/mooncake/store/worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,6a1acac3,2026-07-25,test-ci,bugfix,[BUGFIX] Fix log capture in KV test (#49655),none,skip,否,S,low-risk,tests/v1/core/test_kv_cache_utils.py,,
P3,7154856f,2026-07-26,distributed,bugfix,【变更概述】修复 KV cache 在接收端布局后处理（kv_postprocess_layout_on_receive）中对 5D 缓存的维度排列错误。此前该函数硬编码了 4D cache 的逆排列,low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/utils.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,3f1d4096,2026-07-26,distributed,bugfix,【变更概述】修复 OffloadingConnectorScheduler 中 num_tokens_after_batch 在请求被中止（FINISHED_ABORTED）时的计算错误。此前对所有已,low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/v1/offloading/scheduler.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,0da6e7f3,2026-07-26,test-ci,bugfix,"【变更概述】修复 CompilationConfig 和 CustomOp 对矛盾自定义算子指令（custom_ops）的处理。此前使用 assert 进行校验，存在三类问题：(1) 同时指定 ""al",medium,config-align,否,S,medium-risk,"tests/compile/test_config.py, vllm/config/compilation.py, vllm/model_executor/custom_op.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P3,55596792,2026-07-26,distributed,bugfix,【变更概述】修复 OffloadingConnectorScheduler 中 sliding window attention（SWA）卸载时的边界检查错误。在判断 num_pending_gpu_,low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/v1/offloading/scheduler.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,8d28b48d,2026-07-26,test-ci,performance,【变更概述】将多模态（MM）预处理从共享的 renderer 线程池 executor 隔离到独立的单线程 executor，避免 tokenization 与 MM 预处理互相阻塞。具体变更：(1),medium,config-align,否,S,medium-risk,"tests/test_config.py, vllm/config/model.py, vllm/renderers/base.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P2,30b07140,2026-07-26,model-architecture,performance,【变更概述】优化 DeepSeek-OCR-2（基于 DeepEncoder2 架构）的首 token 延迟（TTFT）。核心优化是将 CustomQwen2Decoder 中的自定义 4D atte,medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/deepencoder2.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,7a29a3c5,2026-07-26,test-ci,bugfix,【变更概述】修复 KV 卸载持久化缓存（FileMapper）的命名空间未区分 V1（parallelism-agnostic）与 V2（parallelism-specific）model runn,low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/test_file_mapper.py, vllm/v1/kv_offload/file_mapper.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,1240c74c,2026-07-26,test-ci,bugfix,【变更概述】修复 ColQwen3.5（ColBERT 式 late-interaction 检索模型）的注意力契约处理。此前 ColQwen3.5Config.verify_and_update_m,medium,auto-inherit,否,S,medium-risk,"tests/models/multimodal/pooling/test_colqwen3_5.py, vllm/model_executor/models/config.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,48ebd6f2,2026-07-26,other,bugfix,【变更概述】修复 KVConnector 在 per-token-head 量化模式下启用跨层 KV 块（cross-layer KV blocks）导致 KV 数据损坏的问题。KVConnector,low,auto-inherit,否,S,low-risk,vllm/v1/worker/kv_connector_model_runner_mixin.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,04502dec,2026-07-27,test-ci,performance,【变更概述】优化多模态视频哈希机制，将视频哈希方式从帧数据哈希改为按源字节（source bytes）哈希。当视频帧的 nbytes 小于原始字节大小时，使用帧数据进行哈希；否则使用原始字节。新增 M,medium,auto-inherit,否,S,medium-risk,"tests/multimodal/test_hasher.py, vllm/multimodal/hasher.py, vllm/multimodal/inputs.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,d2ca3002,2026-07-27,other,performance,【变更概述】【MRV2 commit】在 MRV2 采样器中跳过不必要的 FP32 logits 物化操作。新增 _requires_logits_processing 方法，在采样前检查当前批次是否,low,auto-inherit,否,S,low-risk,vllm/v1/worker/gpu/sample/sampler.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,27d7061e,2026-07-27,test-ci,bugfix,【变更概述】修复 JinaRankingIOProcessor 在在线请求构建时丢失 truncate_prompt_tokens 和 truncation_side 参数的 bug。JinaRank,low,auto-inherit,否,S,low-risk,"tests/entrypoints/pooling/scoring/test_jina_ranking_io_processor_unit.py, vllm/entrypoints/pooling/scoring/io_processor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,ef9975d0,2026-07-27,model-architecture,bugfix,【变更概述】移除 DiffusionGemma 模型不正确的流水线并行（PP）支持声明。移除 SupportsPP 导入和继承，删除 make_empty_intermediate_tensors 赋,medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/diffusion_gemma.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,56c96b0d,2026-07-27,other,performance,【变更概述】为 LL BF16 Router GEMM 添加 SM100F（Blackwell）和 SM90（Hopper）架构特定的调优配置。新增 _arch_tuned_configs() 函数根,low,auto-inherit,否,S,low-risk,"vllm/model_executor/kernels/linear/cute_dsl/ll_bf16.py, vllm/model_executor/warmup/kernel_warmup.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,59a6b041,2026-07-27,test-ci,bugfix,【变更概述】修复 DP 内部负载均衡（LB）的多个问题：(1) 移除 Rust 前端 routing_score 中对 waiting 请求的额外惩罚；(2) 引入 engine_inflight 精,low,auto-inherit,否,S,low-risk,"rust/src/engine-core-client/src/client/state.rs, tests/v1/engine/test_engine_core_client.py, vllm/v1/core/sched/interface.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,a89015c6,2026-07-27,attention-kv-cache,performance,【变更概述】将 triton_merge_attn_states.py 中 merge_attn_states 内核的 prefill_tokens_with_context 参数从编译时常量改为运行,medium,auto-inherit,否,S,medium-risk,vllm/v1/attention/ops/triton_merge_attn_states.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,96fa3f42,2026-07-27,other,performance,"【变更概述】在 kernel_warmup 中为 ll_bf16 router GEMM 预热添加 is_moe 条件检查，仅在 MoE 模型时执行预热。
【PR号】#49659
【变更类型】perf",low,auto-inherit,否,S,low-risk,vllm/model_executor/warmup/kernel_warmup.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,81962bb6,2026-07-27,distributed,bugfix,【变更概述】修复 FlashInfer MNNVL 工作空间创建时未校验 mc_ptr 的问题。当 MNNVL multicast 不可用时，工作空间的 mc_ptr 为 0，修复后显式销毁无效工作空,none,skip,否,S,low-risk,vllm/distributed/device_communicators/flashinfer_all_reduce.py,,
P3,30fbd055,2026-07-27,test-ci,bugfix,【变更概述】修复 ReplaySSM Triton 内核在 ROCm 上不支持 tf32x3 的问题。将 input_precision 改为根据平台动态选择：ROCm 使用 None，CUDA 保持,low,auto-inherit,否,S,low-risk,".buildkite/test-amd.yaml, vllm/model_executor/layers/mamba/ops/selective_state_update_replayssm_output_only.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,394beb63,2026-07-27,test-ci,bugfix,"【变更概述】修复 ROCm 平台 CPU KV cache 加载使用 Triton 内核的问题。ROCm 上 GPU 内核不能直接解引用 CPU 指针，应使用 C++ batch DMA 路径。
【P",low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/cpu/test_gpu_worker.py, vllm/v1/kv_offload/cpu/gpu_worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,7f599d78,2026-07-27,operator-kernel,bugfix,[communication] [bugfix] fix quickreduce acc error in cudagraph mode (#46913),none,skip,否,S,low-risk,"csrc/quickreduce/quick_reduce.h, tests/distributed/test_rocm_quick_reduce.py",,
P3,eb290ab6,2026-07-27,test-ci,bugfix,【变更概述】修复 CPU 平台 MoE grouped-gemm 内核在 TP 分片后 intermediate size 不对齐 32 字节时静默回退到慢速 per-expert torch 循环的,low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_cpu_fused_moe.py, vllm/model_executor/layers/fused_moe/cpu_fused_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,cbc3a872,2026-07-27,other,bugfix,"【变更概述】修复 HF tokenizer 在双格式 Mistral 仓库中选择错误 tokenizer 类的问题。对 HF tokenizer 明确使用 config_format=""hf"" 加载 ",low,auto-inherit,否,S,low-risk,vllm/tokenizers/registry.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,8061dc26,2026-07-27,test-ci,bugfix,"【变更概述】修复 DeepSeek V4 sparse MLA 预热时 compress_ratios 中包含 0 值导致预热键异常的问题。将 0 值归一化为 1。
【PR号】#49392
【变更类型",medium,auto-inherit,否,S,medium-risk,"tests/v1/attention/test_indexer_deepseek_v4_slot_mapping.py, vllm/v1/attention/backends/mla/indexer.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,544cb724,2026-07-27,operator-kernel,performance,"【变更概述】优化 CPU 平台投机解码的 GDN 卷积路径。重构 conv.cpp 和 gdn_attention.py 以提升性能。
【PR号】#48577
【变更类型】performance - ",low,idea-copy,否,L,low-risk,"csrc/cpu/sgl-kernels/conv.cpp, csrc/cpu/torch_bindings.cpp, tests/kernels/mamba/cpu/test_cpu_gdn_ops.py",理解上游优化思路（csrc/cpu/sgl-kernels/conv.cpp） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
P3,53397fbf,2026-07-27,test-ci,bugfix,"【变更概述】修复 KV Offload P2P 传输中重连到已回收 peer 时 EngineCore 崩溃的问题。在 zmq 控制层添加 reconnect 状态处理。
【PR号】#49823
【变",low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/tiering/p2p/test_zmq_transport.py, vllm/v1/kv_offload/tiering/p2p/control/base.py, vllm/v1/kv_offload/tiering/p2p/control/zmq.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,49f31d7c,2026-07-27,test-ci,bugfix,"【变更概述】修复 ROCm 平台 vllm_c RMSNorm 内核输出非连续张量的问题。
【PR号】#49913
【变更类型】bugfix - ROCm 内核修复
【变更文件】vllm/kernel",low,auto-inherit,否,S,low-risk,"tests/kernels/ir/test_layernorm.py, vllm/kernels/vllm_c.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,74d3b799,2026-07-27,other,bugfix,"【变更概述】修复 mHC block-M prenorm GEMM 中跨行规约进位错误。
【PR号】#49429
【变更类型】bugfix - 内核数值修复
【变更文件】vllm/model_exec",low,auto-inherit,否,S,low-risk,vllm/model_executor/kernels/mhc/tilelang_kernels.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,439f3362,2026-07-27,other,bugfix,【变更概述】【MRV2 commit】修复 MRV2 mamba_hybrid.py 中的 GPU<->CPU 同步问题。将 num_accepted_tokens_gpu 和 _mamba_stat,low,auto-inherit,否,S,low-risk,vllm/v1/worker/gpu/model_states/mamba_hybrid.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,50aa8304,2026-07-27,test-ci,bugfix,【变更概述】【MRV2 commit】修复 MRV2 中 dummy 请求创建时将余数 token 全部分配给最后一个请求，导致该请求 seq_len 超过 max_model_len 的问题。改为将,medium,auto-inherit,否,S,medium-risk,"tests/v1/worker/test_gpu_input_batch_v2.py, vllm/v1/worker/gpu/input_batch.py, vllm/v1/worker/gpu/lora_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,f0553889,2026-07-27,test-ci,bugfix,【变更概述】修复 XPU 平台 sparse MLA 内核中全掩码索引块导致 NaN 中毒的问题。使用有限哨兵值 -1e30 替代 -inf，避免 re_scale = exp2(-inf - -in,medium,auto-inherit,否,S,medium-risk,"tests/kernels/attention/test_xpu_mla_sparse.py, vllm/v1/attention/ops/xpu_mla_sparse.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,30217b0e,2026-07-28,test-ci,bugfix,【变更概述】修复 P2P KV Offload 会话中 serve 状态管理问题，将 serve 状态限定在每次 fetch 轮次内，避免跨轮次状态污染。重构 client.py、server.py、,low,auto-inherit,否,S,low-risk,"tests/v1/kv_offload/tiering/p2p/test_manager.py, tests/v1/kv_offload/tiering/p2p/test_sessions.py, vllm/v1/kv_offload/tiering/p2p/session/client.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,1e81853a,2026-07-28,test-ci,bugfix,【变更概述】修复 Mamba 模型在 DCP（Decode Context Parallelism）下 KV Offload 的 block span 缩放问题，确保 Mamba block span,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/offloading_connector/test_config.py, vllm/distributed/kv_transfer/kv_connector/v1/offloading/config.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,b6cbba8b,2026-07-28,test-ci,bugfix,[Bugfix][Kernel] Fix batch invariance in RMSNorm kernels by pinning block size (#48391),none,skip,否,S,low-risk,".buildkite/test_areas/misc.yaml, csrc/libtorch_stable/layernorm_kernels.cu, csrc/libtorch_stable/layernorm_quant_kernels.cu",,
P2,62d8db7c,2026-07-28,model-architecture,bugfix,"【变更概述】补充 Kimi-K3 模型目录缺失的 __init__.py 文件，修复导入错误。
【PR号】#50131
【变更类型】bugfix - 缺失文件补全
【变更文件】vllm/models/",medium,auto-inherit,否,S,medium-risk,"vllm/models/kimi_k3/__init__.py, vllm/models/kimi_k3/amd/ops/__init__.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P3,98e91a96,2026-07-28,distributed,bugfix,"【变更概述】优化 NIXL Push 模式 D->P 握手流程，跳过多余的 add_remote_agent 步骤，减少握手延迟。
【PR号】#49345
【变更类型】bugfix - NIXL 握手",low,auto-inherit,否,S,low-risk,"vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_worker.py, vllm/distributed/kv_transfer/kv_connector/v1/nixl/push_worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,948107ac,2026-07-28,test-ci,bugfix,"【变更概述】增强 Intel INC 量化方案的 extra_config 处理，修复 layer name suffix 匹配逻辑。
【PR号】#48589
【变更类型】bugfix - 量化配置匹",low,auto-inherit,否,S,low-risk,"tests/quantization/test_auto_round.py, vllm/model_executor/layers/quantization/inc/config_parser.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,bf9f2300,2026-07-28,other,bugfix,[Rust Frontend] Fix finish reason for named tool choices (#49496),none,skip,否,S,low-risk,"rust/src/server/src/routes/openai/chat_completions.rs, rust/src/server/src/routes/openai/chat_completions/convert.rs, rust/src/server/src/routes/tests.rs",,
P3,b09688a6,2026-07-28,other,bugfix,【变更概述】修复 speculative decode 在 level-2 sleep（GPU 休眠）后 draft buffers 被释放的问题，确保 sleep 唤醒后 draft buffers,low,auto-inherit,否,S,low-risk,vllm/v1/worker/gpu_worker.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,03a2d033,2026-07-28,other,bugfix,"【变更概述】修复权重加载时未在所有平台上遵循 cgroup 内存限制的问题，统一内存限制检测逻辑。
【PR号】#49966
【变更类型】bugfix - 内存限制检测修复
【变更文件】vllm/mod",low,auto-inherit,否,S,low-risk,vllm/model_executor/model_loader/weight_utils.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,90245f41,2026-07-28,multimodal,bugfix,【变更概述】【MRV2 相关】修复 CPU MRV2 上多模态推理的问题。修改 vllm/v1/worker/gpu/model_states/encoder_decoder.py 处理多模态输入，在,medium,auto-inherit,否,S,medium-risk,"vllm/multimodal/inputs.py, vllm/v1/worker/cpu/shm.py, vllm/v1/worker/gpu/model_states/encoder_decoder.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 multimodal 模块在 Ascend 行为一致
P3,f472ab0a,2026-07-28,test-ci,bugfix,"【变更概述】移除 ROCm 平台的 triton per group 量化逻辑，清理 input_quant_fp8.py 和 fp8_utils.py 中的相关代码。
【PR号】#49621
【变更",low,auto-inherit,否,S,low-risk,"tests/compile/passes/distributed/test_fusion_all_reduce.py, tests/compile/passes/test_fusion.py, tests/compile/passes/test_silu_mul_quant_fusion.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
